epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,883.57,0.52785,0.3536,0.85986,0.92862,0.93448,0.95141,0.82053,0.56585,0.37952,0.82833,0.000742625,0.000742625,0.000742625
43,904.635,0.53367,0.35028,0.86148,0.92346,0.93381,0.94349,0.81714,0.55067,0.38274,0.83552,0.00073025,0.00073025,0.00073025
44,925.698,0.52508,0.34826,0.8607,0.90438,0.93485,0.95129,0.8248,0.55503,0.37911,0.83101,0.000717875,0.000717875,0.000717875
45,947.487,0.52334,0.34666,0.86089,0.9356,0.92825,0.95066,0.82183,0.55564,0.38142,0.83447,0.0007055,0.0007055,0.0007055
46,968.277,0.52007,0.34406,0.86291,0.91224,0.93429,0.94723,0.81284,0.56785,0.38384,0.83145,0.000693125,0.000693125,0.000693125
47,989.317,0.51091,0.33822,0.85624,0.89967,0.9343,0.94766,0.82211,0.55957,0.3874,0.83218,0.00068075,0.00068075,0.00068075
48,1010.09,0.50217,0.32932,0.85192,0.92466,0.92674,0.94507,0.82446,0.55217,0.37013,0.83276,0.000668375,0.000668375,0.000668375
49,1030.95,0.50936,0.3415,0.85664,0.94454,0.91606,0.95077,0.82817,0.55978,0.37164,0.83179,0.000656,0.000656,0.000656
50,1051.96,0.50234,0.32655,0.84768,0.95147,0.90236,0.94926,0.82667,0.55761,0.38801,0.83467,0.000643625,0.000643625,0.000643625
51,1072.72,0.49099,0.32553,0.85009,0.9413,0.90848,0.94986,0.82881,0.55739,0.37448,0.83366,0.00063125,0.00063125,0.00063125
52,1093.61,0.50153,0.3305,0.85454,0.94055,0.91871,0.95217,0.8298,0.5477,0.36359,0.83248,0.000618875,0.000618875,0.000618875
53,1114.58,0.49381,0.33017,0.84838,0.93231,0.9369,0.95133,0.83663,0.54274,0.36987,0.82907,0.0006065,0.0006065,0.0006065
54,1135.63,0.48858,0.32622,0.85238,0.92293,0.93776,0.95057,0.83297,0.53963,0.36968,0.82569,0.000594125,0.000594125,0.000594125
55,1156.42,0.49527,0.32604,0.84946,0.93772,0.92574,0.94979,0.8207,0.55241,0.36955,0.82683,0.00058175,0.00058175,0.00058175
56,1177.66,0.48749,0.31768,0.84919,0.91994,0.92596,0.95547,0.8312,0.546,0.36664,0.82432,0.000569375,0.000569375,0.000569375
57,1198.31,0.47837,0.3153,0.84742,0.919,0.9413,0.94453,0.82094,0.54293,0.36692,0.82698,0.000557,0.000557,0.000557
58,1219.28,0.47925,0.31411,0.84503,0.92846,0.93169,0.94953,0.8331,0.53531,0.35962,0.8249,0.000544625,0.000544625,0.000544625
59,1239.87,0.4829,0.31352,0.8475,0.93348,0.93697,0.94838,0.83351,0.54049,0.35213,0.82734,0.00053225,0.00053225,0.00053225
60,1260.78,0.48038,0.30729,0.85117,0.94101,0.92406,0.94878,0.83108,0.54028,0.35311,0.82312,0.000519875,0.000519875,0.000519875
61,1281.71,0.47775,0.30972,0.84678,0.94358,0.91033,0.95342,0.83422,0.54333,0.36925,0.82812,0.0005075,0.0005075,0.0005075
62,1302.63,0.47286,0.30881,0.84607,0.93246,0.93225,0.94728,0.82539,0.54181,0.35103,0.82603,0.000495125,0.000495125,0.000495125
63,1323.48,0.47119,0.30482,0.84451,0.94234,0.93059,0.9498,0.83229,0.53543,0.35113,0.82468,0.00048275,0.00048275,0.00048275
64,1344.36,0.46396,0.2993,0.84029,0.9187,0.94293,0.94991,0.82654,0.53191,0.35365,0.82442,0.000470375,0.000470375,0.000470375
