epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,775.739,0.52871,0.35184,0.85895,0.94158,0.9059,0.95273,0.82979,0.54854,0.37938,0.84128,0.000742625,0.000742625,0.000742625
43,794.385,0.52346,0.34812,0.85387,0.9369,0.93011,0.94764,0.82249,0.55008,0.36539,0.84021,0.00073025,0.00073025,0.00073025
44,813.23,0.51476,0.34448,0.85603,0.93041,0.9265,0.95364,0.82698,0.54106,0.36845,0.8333,0.000717875,0.000717875,0.000717875
45,832.044,0.51583,0.34427,0.85355,0.94875,0.90899,0.96104,0.8265,0.5597,0.36267,0.83571,0.0007055,0.0007055,0.0007055
46,850.837,0.50714,0.34215,0.84751,0.92167,0.92535,0.95319,0.81655,0.54465,0.37164,0.82629,0.000693125,0.000693125,0.000693125
47,869.927,0.51214,0.34386,0.85618,0.92536,0.92737,0.96476,0.82862,0.53885,0.35653,0.82369,0.00068075,0.00068075,0.00068075
48,888.269,0.50719,0.34085,0.85495,0.94643,0.91778,0.94628,0.82116,0.5482,0.37152,0.84409,0.000668375,0.000668375,0.000668375
49,907.071,0.51244,0.33239,0.85274,0.93539,0.92662,0.94901,0.82954,0.53618,0.35526,0.83186,0.000656,0.000656,0.000656
50,925.833,0.49725,0.32746,0.84715,0.93046,0.93506,0.96078,0.83385,0.5389,0.35201,0.82713,0.000643625,0.000643625,0.000643625
51,944.257,0.49329,0.32557,0.84957,0.93993,0.92438,0.95747,0.83092,0.5357,0.35189,0.82672,0.00063125,0.00063125,0.00063125
52,962.98,0.4944,0.32076,0.84842,0.93307,0.93314,0.95358,0.83642,0.53216,0.34829,0.81998,0.000618875,0.000618875,0.000618875
53,981.504,0.49278,0.323,0.85086,0.93725,0.92817,0.95922,0.83388,0.5383,0.33986,0.81923,0.0006065,0.0006065,0.0006065
54,999.889,0.48492,0.31722,0.84271,0.93917,0.93149,0.9546,0.82701,0.54103,0.361,0.82819,0.000594125,0.000594125,0.000594125
55,1018.24,0.48494,0.31968,0.84569,0.92755,0.92963,0.94702,0.82636,0.54159,0.35233,0.8245,0.00058175,0.00058175,0.00058175
56,1036.44,0.49347,0.32465,0.85033,0.90728,0.93341,0.95079,0.82529,0.53739,0.35625,0.82009,0.000569375,0.000569375,0.000569375
57,1054.63,0.48481,0.31505,0.84637,0.93112,0.93273,0.95515,0.83577,0.53338,0.34666,0.81917,0.000557,0.000557,0.000557
58,1072.66,0.47104,0.30668,0.84262,0.93963,0.93155,0.95499,0.83916,0.53226,0.34491,0.82095,0.000544625,0.000544625,0.000544625
59,1090.88,0.47976,0.3112,0.85029,0.93023,0.91761,0.94107,0.82767,0.52804,0.3481,0.81835,0.00053225,0.00053225,0.00053225
60,1109.11,0.46777,0.30359,0.84413,0.93718,0.9373,0.95962,0.83486,0.53142,0.34604,0.82347,0.000519875,0.000519875,0.000519875
61,1127.29,0.47002,0.30441,0.84442,0.92156,0.93533,0.96165,0.83924,0.53307,0.33994,0.83731,0.0005075,0.0005075,0.0005075
62,1145.58,0.46323,0.30252,0.84355,0.94556,0.91197,0.96227,0.83746,0.53449,0.33211,0.82519,0.000495125,0.000495125,0.000495125
63,1163.73,0.47067,0.30462,0.8422,0.94715,0.90654,0.95771,0.83469,0.53525,0.3477,0.82833,0.00048275,0.00048275,0.00048275
64,1181.85,0.45932,0.29582,0.84082,0.92053,0.93616,0.95629,0.83479,0.53555,0.33095,0.8245,0.000470375,0.000470375,0.000470375
65,1200.04,0.46261,0.29575,0.84141,0.9466,0.91794,0.96219,0.84215,0.52382,0.33273,0.82591,0.000458,0.000458,0.000458
66,1218.33,0.45368,0.29464,0.84155,0.93895,0.93647,0.95611,0.84055,0.52927,0.34216,0.83517,0.000445625,0.000445625,0.000445625
67,1236.62,0.45606,0.29621,0.84004,0.9396,0.92127,0.95622,0.83382,0.53769,0.33786,0.84004,0.00043325,0.00043325,0.00043325
68,1254.91,0.44736,0.29172,0.83906,0.94228,0.92925,0.95212,0.8357,0.53302,0.34664,0.84012,0.000420875,0.000420875,0.000420875
69,1273.16,0.44541,0.2915,0.83635,0.94892,0.93731,0.95672,0.84143,0.5317,0.34086,0.83498,0.0004085,0.0004085,0.0004085
70,1291.34,0.44427,0.28709,0.83978,0.92992,0.9373,0.9641,0.84378,0.52325,0.32885,0.82669,0.000396125,0.000396125,0.000396125
71,1309.78,0.44052,0.28276,0.83353,0.91924,0.93936,0.95618,0.8396,0.53579,0.34356,0.83817,0.00038375,0.00038375,0.00038375
72,1328.22,0.43744,0.28257,0.83769,0.94604,0.92514,0.95454,0.84386,0.52694,0.34035,0.82857,0.000371375,0.000371375,0.000371375
73,1346.5,0.43959,0.28037,0.83453,0.92172,0.93197,0.95554,0.83633,0.52691,0.33746,0.83101,0.000359,0.000359,0.000359
74,1364.54,0.43255,0.27858,0.83599,0.93622,0.93301,0.95603,0.8427,0.52619,0.31916,0.82734,0.000346625,0.000346625,0.000346625
